Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2022-11-27,173250 ,-0.001900 ,106620 ,0.008800 ,55705000 ,0,98.02
2022-11-26,194940 ,-0.003400 ,105690 ,-0.007600 ,76054000 ,0,101.54
2022-11-25,204070 ,-0.005400 ,106510 ,0.002500 ,70237000 ,0,107.23
2022-11-24,229590 ,-0.001400 ,106240 ,0.007500 ,67052000 ,0,105.04
2022-11-23,305080 ,0.025300 ,105450 ,-0.004300 ,38594000 ,0,101.43
2022-11-22,287210 ,0.027700 ,105900 ,-0.004200 ,45623000 ,0,104.96
2022-11-21,372150 ,-0.031300 ,106350 ,-0.000900 ,52192000 ,0,101.25
2022-11-20,172830 ,-0.024700 ,106450 ,-0.006900 ,45848000 ,0,102.67
2022-11-19,114890 ,0.003700 ,107190 ,0.006600 ,43839000 ,0,101.96
2022-11-18,241960 ,-0.003200 ,106480 ,-0.002300 ,46797000 ,0,104.39
2022-11-17,257000 ,0.009100 ,106730 ,-0.001700 ,49290000 ,0,104.84
2022-11-16,295730 ,-0.021000 ,106910 ,-0.001600 ,52907000 ,0,102.62
2022-11-15,337150 ,0.016900 ,107080 ,0.003700 ,65221000 ,0,98.33
2022-11-14,442460 ,0.017700 ,106680 ,-0.006400 ,57761000 ,0,97.73
2022-11-13,210800 ,-0.028000 ,107370 ,-0.006400 ,68607000 ,0,98.41
2022-11-12,192910 ,-0.014900 ,108060 ,-0.004400 ,48235000 ,0,102.16
2022-11-11,466350 ,-0.030700 ,108540 ,0.005400 ,46186000 ,0,-
2022-11-10,720740 ,0.107100 ,107960 ,-0.001100 ,42797000 ,0,104.03
2022-11-09,869570 ,-0.142500 ,108070 ,0.000500 ,47215000 ,0,98.19
2022-11-08,865100 ,-0.100100 ,108020 ,0.009500 ,46368000 ,0,101.73
2022-11-07,414240 ,-0.015600 ,107010 ,-0.001100 ,43800000 ,0,111.07
2022-11-06,242260 ,-0.018100 ,107130 ,0.000300 ,48309000 ,0,108.38
2022-11-05,261230 ,0.007400 ,107100 ,0.005300 ,63033000 ,0,106.34
2022-11-04,499500 ,0.046500 ,106540 ,0.013300 ,54575000 ,0,113.4
2022-11-03,347230 ,0.002600 ,105140 ,0.000000 ,56394000 ,0,114.22
