Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-04-02,45.04K,-0.91%,102.28k,0.34%,"56,497K",0,84.17
2023-04-01,38.09K,-0.06%,101.93k,0.09%,"45,293K",0,83.23
2023-03-31,98.44K,1.58%,101.84k,0.19%,"43,962K",0,83.52
2023-03-30,122.51K,-1.13%,101.64k,-0.27%,"51,110K",0,-
2023-03-29,109.32K,3.99%,101.92k,-0.22%,"44,729K",0,-
2023-03-28,94.16K,0.49%,102.14k,0.12%,"55,141K",0,83.88
2023-03-27,107.24K,-3.02%,102.01k,-0.05%,"35,329K",0,81.43
2023-03-26,60.64K,1.81%,102.06k,-0.30%,"38,410K",0,83.7
2023-03-25,61.36K,0.05%,102.36k,-0.03%,"50,423K",0,82.54
2023-03-24,110.36K,-3.00%,102.39k,0.12%,"40,504K",0,81.79
2023-03-23,158.46K,3.85%,102.27k,0.06%,"38,917K",0,81.07
2023-03-22,262.03K,-3.03%,102.2k,-0.04%,"43,132K",0,79.53
2023-03-21,438.78K,1.42%,102.25k,-0.91%,"40,128K",0,76.84
2023-03-20,503.90K,-0.85%,103.19k,-0.05%,"31,049K",0,76.04
2023-03-19,393.27K,3.88%,103.24k,0.23%,"35,492K",0,77.09
2023-03-18,392.47K,-1.74%,103k,-0.85%,"35,107K",0,75.2
2023-03-17,674.96K,9.55%,103.88k,-1.11%,"46,490K",0,75.19
2023-03-16,462.58K,2.97%,105.04k,0.76%,"34,933K",0,77.1
2023-03-15,614.31K,-1.69%,104.25k,-0.26%,"56,505K",0,82.07
2023-03-14,753.06K,2.43%,104.52k,0.99%,"32,503K",0,78.77
2023-03-13,733.63K,9.64%,103.49k,-0.03%,"40,326K",0,78.15
2023-03-12,455.69K,7.46%,103.52k,-0.30%,"35,404K",0,80
2023-03-11,453.46K,1.54%,103.84k,-0.60%,"47,823K",0,80.63
2023-03-10,655.27K,-1.01%,104.46k,0.27%,"47,854K",0,78.11
2023-03-09,468.76K,-6.21%,104.18k,-0.14%,"49,689K",0,78.88
2023-03-08,316.51K,-2.19%,104.32k,0.01%,"65,659K",0,76.74
2023-03-07,304.75K,-0.95%,104.31k,-0.11%,"45,733K",0,75.79
